Kanzlei-Rechnungswesen - RW - 452389/30902/2019 /  Summen- und Saldenliste - SUSA Jahresübersicht Dezember,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3125,"Leistungen ausl. UN 19% Vorst., 19% USt",,,,,,,"1.616,68",S,,"679,01",S,,"709,95",S,,"708,42",S,,"715,05",S,,"709,93",S,,"986,74",S,,"729,65",S,,"715,51",S,,"720,29",S,,"707,79",S,,"8.999,02",S,
3730,Erhaltene Skonti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,00",S,,"1,00",,H,"0,00",,
3736,Erhaltene Skonti 19% Vorsteuer,,,,"3.468,00",,H,"1.360,01",,H,"2.008,52",,H,"1.545,00",,H,"1.928,24",,H,"2.276,20",,H,"3.115,49",,H,"6.332,01",,H,"2.473,50",,H,"3.612,52",,H,"2.793,50",,H,"30.912,99",S,,"0,00",,
4120,Gehälter,,,,"79.524,96",S,,"77.098,50",S,,"78.015,17",S,,"43.514,97",S,,"42.491,97",S,,"44.413,65",S,,"43.132,53",S,,"43.323,77",S,,"43.323,77",S,,"43.323,77",S,,"45.919,77",S,,"44.491,32",S,,"628.574,15",S,
4130,Gesetzliche Sozialaufwendungen,,,,"16.636,59",S,,"16.998,01",S,,"17.701,37",S,,"10.147,64",S,,"10.187,64",S,,"11.040,23",S,,"10.565,83",S,,"10.705,83",S,,"10.725,48",S,,"10.716,56",S,,"10.974,35",S,,"10.099,48",S,,"146.499,01",S,
4138,Beiträge zur Berufsgenossenschaft,,,,,,,,,,,,,"3.150,73",S,,,,,,,,,,,,,,,,,,,,,,,"1.300,00",,H,"1.850,73",S,
4140,Freiwillige soziale Aufwendung. LSt-frei,,,,"354,99",S,,"316,43",S,,"199,54",S,,"302,48",S,,"299,97",S,,"213,61",S,,"302,83",S,,"333,40",S,,"233,70",S,,"272,60",S,,"235,34",S,,"140,33",S,,"3.205,22",S,
4156,Aufwendung Veränderung Urlaubsrückst.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6.244,32",S,,"6.244,32",S,
4160,Versorgungskassen,,,,"713,95",S,,"713,95",S,,,,,,,,"2.937,79",S,,"810,82",S,,"810,82",S,,"810,82",S,,"810,82",S,,"810,82",S,,"810,82",S,,"489,18",,H,"8.741,43",S,
4165,Aufwendungen für Altersversorgung,,,,"55,70",S,,"55,70",S,,"55,70",S,,"19,00",S,,"19,00",S,,"19,00",S,,"19,00",S,,"19,00",S,,"19,00",S,,"19,00",S,,"19,00",S,,"19,00",S,,"338,10",S,
4170,Vermögenswirksame Leistungen,,,,"140,00",S,,"140,00",S,,"140,00",S,,"80,00",S,,"80,00",S,,"80,00",S,,"80,00",S,,"80,00",S,,"80,00",S,,"80,00",S,,"80,00",S,,"80,00",S,,"1.140,00",S,
4194,Pauschale Steuern Minijobber,,,,"86,70",S,,"112,80",S,,"133,15",S,,"92,75",S,,"110,50",S,,"144,55",S,,"119,40",S,,"130,54",S,,"123,15",S,,"143,39",S,,"126,78",S,,"119,40",S,,"1.443,11",S,
4195,Löhne für Minijobs,,,,"5.264,50",S,,"7.195,00",S,,"9.769,50",S,,"7.927,00",S,,"8.212,50",S,,"10.164,00",S,,"9.724,50",S,,"8.806,50",S,,"8.827,00",S,,"8.911,00",S,,"7.607,50",S,,"6.661,00",S,,"99.070,00",S,
4199,Pauschale Steuer für Aushilfen,,,,"37,20",S,,"23,54",S,,"23,54",S,,"23,54",S,,"23,54",S,,"175,85",S,,"146,21",S,,"72,36",S,,"81,66",S,,"59,56",S,,"54,66",S,,"60,72",S,,"782,38",S,
4210,"Miete, unbewegliche Wirtschaftsgüter",,,,"7.277,41",S,,"7.277,41",S,,"7.277,41",S,,"6.827,41",S,,"7.576,81",S,,"6.827,41",S,,"6.078,01",S,,"6.827,41",S,,"6.827,41",S,,"6.827,41",S,,"6.827,41",S,,"6.827,41",S,,"83.278,92",S,
4240,"Gas, Strom, Wasser",,,,"363,87",S,,"363,87",S,,"363,87",S,,"363,87",S,,"363,87",S,,"363,87",S,,"433,00",S,,"294,74",S,,"363,87",S,,"363,87",S,,"39,15",S,,"374,79",S,,"4.052,64",S,
4360,Versicherungen,,,,"24,93",S,,"24,93",S,,"24,93",S,,"43,03",S,,"24,93",S,,"600,90",S,,"24,93",S,,"24,93",S,,"6.691,51",S,,"2.901,98",S,,"24,93",S,,"24,95",S,,"10.436,88",S,
4380,Beiträge / Gebühren,,,,,,,"64,09",S,,"144,00",S,,"384,60",S,,"77,47",S,,"100,00",S,,"225,47",S,,"52,47",S,,"127,98",S,,"6,77",,H,"52,47",S,,"447,53",S,,"1.669,31",S,
4510,Kfz-Steuern,,,,"46,83",S,,"30,67",,H,"256,33",S,,"1.284,33",S,,"68,33",S,,"68,33",S,,"37,33",S,,"68,33",S,,"402,33",S,,"722,33",S,,"228,52",,H,"182,63",,H,"2.512,65",S,
4520,Kfz-Versicherungen,,,,"1.132,05",S,,"476,93",S,,"1.170,69",S,,"1.009,20",S,,"1.063,41",S,,"1.045,12",S,,"983,32",S,,"1.018,25",S,,"1.018,25",S,,"991,38",S,,"2.054,95",S,,"1.700,31",S,,"13.663,86",S,
4530,Laufende Kfz-Betriebskosten,,,,"1.536,67",S,,"177,80",S,,"4.020,92",S,,"2.230,32",S,,"334,85",S,,"4.588,38",S,,"6.488,27",S,,"2.430,43",S,,"2.262,92",S,,"1.450,25",S,,"4.487,36",S,,"2.017,87",S,,"32.026,04",S,
4540,Kfz-Reparaturen,,,,"326,84",S,,"869,31",S,,"1.456,12",S,,"765,95",S,,"2.157,09",S,,"930,00",,H,"65,13",,H,,,,"722,85",S,,"972,58",S,,,,,"1.962,75",S,,"8.238,36",S,
4570,Mietleasing Kfz,,,,"6.116,63",S,,"7.572,46",S,,"6.939,78",S,,"7.180,80",S,,"8.065,49",S,,"7.318,71",S,,"5.601,11",S,,"6.571,93",S,,"6.571,93",S,,"5.966,46",S,,"7.888,74",S,,"4.234,05",S,,"80.028,09",S,
4580,Sonstige Kfz-Kosten,,,,"1.680,68",S,,"870,15",S,,"10,88",S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.561,71",S,
4600,Werbekosten,,,,"157,00",S,,"697,70",S,,"323,20",S,,"3.220,81",S,,"47,61",,H,"2.088,09",S,,"1.298,01",S,,"25,17",S,,"57,50",S,,,,,"4.723,01",S,,"3.040,00",S,,"15.582,88",S,
4601,"Online Marketing (Google, Facebook)",,,,"7.168,11",S,,"5.592,74",S,,"7.178,11",S,,"6.416,47",S,,"12.074,11",S,,"11.161,30",S,,"14.248,91",S,,"6.101,54",S,,"6.395,73",S,,"6.151,04",S,,"11.007,06",S,,"9.365,34",S,,"102.860,46",S,
4630,Geschenke abzugsfähig ohne § 37b EStG,,,,,,,,,,"32,70",S,,"31,59",S,,,,,,,,,,,,,,,,,,,,,,,,,,"64,29",S,
4637,Pausch. Steuern für Zuwendungen n.abz.,,,,,,,,,,,,,,,,,,,,,,"889,12",S,,,,,,,,,,,,,,,,,"889,12",S,
4645,Konferenz-/Tagungs-/Veranstaltungkosten,,,,"160,22",S,,"71,44",S,,"137,98",S,,,,,"132,40",S,,"173,83",S,,"482,26",S,,"186,35",S,,"368,84",S,,"1.373,25",S,,"297,25",S,,"85,20",S,,"3.469,02",S,
4650,Bewirtungskosten,,,,"156,86",S,,"47,02",S,,"21,50",S,,,,,"143,87",S,,"237,21",S,,"107,58",S,,,,,"153,99",S,,,,,,,,"119,11",S,,"987,14",S,
4653,Aufmerksamkeiten,,,,,,,,,,"42,17",S,,,,,"12,90",S,,"38,45",S,,"5,60",S,,,,,,,,"76,59",S,,"34,04",S,,"12,51",S,,"222,26",S,
4654,Nicht abzugsfähige Bewirtungskosten,,,,"15,67",S,,"19,09",S,,"6,45",S,,,,,"49,66",S,,"6,02",S,,"46,11",S,,,,,"66,01",S,,,,,,,,"51,06",S,,"260,07",S,
4656,nicht abzugsfähige Bewirtungsk. 7% VSt,,,,"10,95",,H,"2,51",,H,"6,45",,H,,,,"28,01",,H,,,,,,,,,,,,,,,,,,,,,,"47,92",,H
4660,Reisekosten Arbeitnehmer,,,,"991,43",S,,"816,90",S,,"575,01",S,,"679,62",S,,"1.543,77",S,,"1.270,13",S,,"401,46",S,,"2.188,92",S,,"1.571,61",S,,"216,34",S,,"785,92",S,,"763,97",S,,"11.805,08",S,
4662,RK-Übernahme externe Dienstleister,,,,"222,00",S,,"444,49",S,,"155,42",S,,,,,"1.571,30",S,,"275,80",S,,"432,71",S,,,,,,,,,,,,,,,,,"3.101,72",S,
4664,Reisekosten AN Verpfleg.mehraufwand,,,,"165,60",S,,"236,60",S,,"860,40",S,,"110,80",S,,"396,00",S,,"211,20",S,,"345,60",S,,"333,60",S,,"585,80",S,,"384,00",S,,"240,00",S,,"355,20",S,,"4.224,80",S,
4665,RK-Übernahme externe Dienstleister,,,,"2.429,39",S,,"3.058,82",S,,"1.893,91",S,,"8.419,04",S,,"1.816,99",S,,"5.033,86",S,,"2.709,69",S,,"4.725,52",S,,"6.339,13",S,,"1.771,45",S,,"4.120,19",S,,"1.088,06",S,,"43.406,05",S,
4666,Reisekosten AN Übernachtungsaufwand,,,,"1.201,82",S,,"580,97",S,,"1.007,47",S,,"769,52",S,,"1.014,54",S,,"186,92",S,,"610,56",S,,"804,02",S,,"5.553,65",S,,"647,12",S,,"883,54",S,,"6.404,89",S,,"19.665,02",S,
4668,Kilometergelderstattung Arbeitnehmer,,,,"1.628,70",S,,"1.767,36",S,,"2.823,60",S,,"1.967,40",S,,"1.280,20",S,,"1.332,00",S,,"1.158,30",S,,"556,65",S,,"2.621,20",S,,"1.499,70",S,,"362,40",S,,"1.766,44",S,,"18.763,95",S,
4730,Ausgangsfrachten,,,,"50,34",S,,"44,90",S,,,,,,,,,,,"17,00",S,,"173,57",S,,"1.042,03",S,,"751,25",S,,,,,,,,"112,27",S,,"2.191,36",S,
4760,Provisionen,,,,,,,,,,,,,,,,,,,"1.500,00",S,,,,,,,,,,,,,,,,,,,,"1.500,00",S,
4806,Wartungskosten für Hard- und Software,,,,"608,00",S,,"608,00",S,,"608,00",S,,"608,00",S,,"608,00",S,,"608,00",S,,"1.212,80",S,,"608,00",S,,"608,00",S,,"608,00",S,,"608,00",S,,"608,00",S,,"7.900,80",S,
4811,Miete Equipment für Veranstaltungen,,,,"3.728,50",S,,"3.833,40",S,,"4.197,00",S,,"2.055,00",S,,"300,00",S,,"12.777,50",S,,"9.809,30",S,,"6.148,75",S,,"5.920,00",S,,,,,"3.800,50",S,,"923,51",S,,"53.493,46",S,
4822,Abschreibung immaterielle VermG,,,,"3.653,01",S,,"3.653,03",S,,"1.346,97",,H,"1.986,35",S,,"1.986,36",S,,"1.986,36",S,,"1.986,35",S,,"937,51",S,,"937,50",S,,"937,50",S,,"937,50",S,,"20.061,50",S,,"37.716,00",S,
4824,Abschr. Geschäfts- oder Firmenwert,,,,"4.166,66",S,,"4.166,67",S,,"4.166,66",S,,"4.166,67",S,,"4.166,67",S,,"4.166,66",S,,"4.166,67",S,,"4.166,67",S,,"4.166,66",S,,"4.166,67",S,,"4.166,67",S,,"4.166,67",S,,"50.000,00",S,
4830,Abschreibungen auf Sachanlagen,,,,"2.846,59",S,,"2.693,13",S,,"2.749,93",S,,"2.460,87",S,,"2.439,17",S,,"2.329,88",S,,"2.286,45",S,,"2.230,44",S,,"2.208,39",S,,"2.226,97",S,,"2.176,51",S,,"1.787,36",S,,"28.435,69",S,
4832,Abschreibungen auf Kfz,,,,"619,25",S,,"367,25",S,,"468,74",S,,"234,42",S,,"234,42",S,,"234,41",S,,"234,42",S,,"234,42",S,,"234,41",S,,"234,42",S,,"234,42",S,,"234,42",S,,"3.565,00",S,
4855,Sofortabschreibung GWG,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.138,42",S,,,,,"478,91",S,,"3.164,46",S,,"6.781,79",S,
4910,Porto,,,,"1.049,03",S,,"826,46",S,,"1.216,35",S,,"757,57",S,,"772,34",S,,"829,55",S,,"900,60",S,,"1.176,64",S,,"1.082,72",S,,"1.369,81",S,,"986,32",S,,"787,33",S,,"11.754,72",S,
4920,Telefon,,,,"609,50",S,,"7.976,54",S,,"2.931,74",S,,"2.323,94",S,,"2.574,78",S,,"3.680,52",S,,"5.917,51",S,,"3.197,09",S,,"3.369,58",S,,"3.218,53",S,,"2.949,86",S,,"6.470,38",S,,"45.219,97",S,
4925,Telefax und Internetkosten,,,,"972,34",S,,"706,76",S,,"581,38",S,,"179,71",S,,"187,97",S,,"481,97",S,,"497,55",S,,"187,97",S,,"466,34",S,,"350,94",S,,"270,34",S,,"1.536,00",S,,"6.419,27",S,
4930,Bürobedarf,,,,"858,87",S,,"1.164,17",S,,"638,91",S,,"156,90",S,,"62,11",S,,"2.024,24",S,,"411,35",S,,"847,47",S,,"425,60",S,,"793,82",S,,"684,42",S,,"486,00",S,,"8.553,86",S,
4940,"Zeitschriften, Bücher (Fachliteratur)",,,,"51,21",S,,,,,,,,,,,,,,,,,"97,05",S,,"97,05",,H,,,,,,,"61,68",S,,,,,"112,89",S,
4945,Fortbildungskosten,,,,,,,"132,00",S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"132,00",S,
4950,Rechts- und Beratungskosten,,,,,,,,,,,,,,,,,,,,,,,,,"14.193,50",S,,,,,,,,,,,"15.000,00",S,,"29.193,50",S,
4955,Buchführungskosten,,,,,,,"2.412,28",S,,"2.154,50",S,,"1.976,42",S,,"3.397,84",S,,,,,"1.662,32",S,,"2.265,34",S,,"1.424,42",S,,"842,00",S,,"1.698,92",S,,"3.020,34",S,,"20.854,38",S,
4957,Abschluss- und Prüfungskosten,,,,,,,,,,,,,,,,,,,,,,"52,50",S,,,,,,,,,,,,,,"8.150,00",S,,"8.202,50",S,
4970,Nebenkosten des Geldverkehrs,,,,"19,00",S,,"124,40",S,,"112,45",S,,"111,58",S,,"663,83",S,,"126,24",S,,"95,99",S,,"287,42",S,,"114,63",S,,"125,88",S,,"101,91",S,,"205,48",S,,"2.088,81",S,
4980,Sonstiger Betriebsbedarf,,,,"1.682,51",S,,"2.016,06",S,,"2.531,05",S,,"1.719,86",S,,"2.300,37",S,,"4.338,69",S,,"3.420,45",S,,"1.919,47",S,,"2.455,26",S,,"5.876,81",S,,"1.879,67",S,,"809,03",S,,"30.949,23",S,
8200,Erlösabgrenzung,,,,"60.117,44",S,,"33.316,88",S,,"16.833,36",,H,"38.146,66",,H,"17.661,99",,H,"16.869,20",S,,"10.662,58",S,,"13.212,23",S,,"16.960,22",S,,"20.052,64",S,,"3.238,73",,H,"58.753,92",S,,"154.064,37",S,
8319,Erlöse im and. EU-Land stpfl.Leistung RC,,,,"1.545,85",,H,"475,06",,H,"321,54",,H,"401,64",,H,"658,63",,H,"833,70",,H,"763,62",,H,"2.427,41",,H,"2.586,68",,H,"930,57",,H,"542,03",,H,"1.378,05",,H,"12.864,78",,H
8320,D  -  im anderen EU-Land stpfl. Leistung,,,,,,,"1.240,40",,H,"2.912,30",,H,"1.199,20",,H,"455,00",,H,"1.550,00",,H,"2.073,45",,H,"2.779,20",,H,"2.160,20",,H,"1.918,00",,H,"1.431,50",,H,"2.226,90",,H,"19.946,15",,H
8333,n.stb.L.EU-Untern.MediaServ. Production,,,,,,,,,,"3.404,67",,H,,,,,,,,,,,,,"150,00",,H,,,,,,,,,,,,,"3.554,67",,H
8335,n.stb.L. EU-Unternehmer - Werbung,,,,"8.461,17",,H,"1.666,66",,H,"12.065,92",,H,"4.369,47",,H,"3.202,81",,H,"3.202,80",,H,"1.536,14",,H,"5.366,14",,H,"1.138,89",,H,"1.138,89",,H,"1.138,88",,H,"555,54",,H,"43.843,31",,H
8340,n.stb.L. Drittland - Werbung,,,,,,,"750,00",,H,"375,00",,H,"375,00",,H,"375,00",,H,"375,00",,H,"375,00",,H,"375,00",,H,"375,00",,H,"375,00",,H,"375,00",,H,"375,00",,H,"4.500,00",,H
8341,n.stb.L. Drittland - MediServ.Production,,,,,,,,,,,,,,,,,,,"20.765,00",,H,"610,00",,H,"1.592,00",,H,"600,00",,H,"2.085,00",,H,"494,00",,H,"662,50",,H,"26.808,50",,H
8402,Erl. 19% USt - Media Serv. - Production,,,,"23.238,00",,H,"26.708,90",,H,"21.696,00",,H,"17.341,36",,H,"29.803,95",,H,"39.358,47",,H,"8.487,65",,H,"48.030,00",,H,"17.340,00",,H,"29.552,00",,H,"31.881,74",,H,"15.777,00",,H,"309.215,07",,H
8403,Erlöse 19% USt - Werbung,,,,"47.092,18",,H,"62,90",S,,"29.580,04",,H,"17.364,16",,H,"35.377,35",,H,"36.999,35",,H,"27.839,84",,H,"66.678,50",,H,"41.836,88",,H,"41.071,01",,H,"73.895,04",,H,"83.692,97",,H,"501.364,42",,H
8404,Erlöse 19% USt - Contentverkauf,,,,"580,50",,H,"52,50",,H,,,,,,,,,,,,,,,,"24,17",,H,,,,"50,00",,H,"83,61",,H,"84,03",,H,"874,81",,H
8405,Erlöse 19% USt - Mitgliedschaften,,,,"197.504,43",,H,"174.073,56",,H,"119.791,55",,H,"104.927,25",,H,"128.002,42",,H,"169.316,79",,H,"169.148,49",,H,"170.737,82",,H,"174.250,59",,H,"175.117,87",,H,"152.726,92",,H,"218.166,95",,H,"1.953.764,64",,H
8407,"Erlöse 19% USt - WL Kosten (Tanken,...)",,,,"681,37",,H,"681,37",,H,"2.542,64",,H,"681,37",,H,"681,37",,H,"681,37",,H,"681,37",,H,"681,37",,H,"681,37",,H,"681,37",,H,,,,"7.296,00",,H,"15.970,97",,H
8408,Erlöse 19% USt Personalkostenerstattung,,,,"53.138,71",,H,"46.755,90",,H,"44.539,74",,H,"1.185,53",,H,"1.185,53",,H,"2.371,06",,H,"1.185,53",,H,"1.185,53",,H,"1.185,53",,H,"1.185,53",,H,"1.185,53",,H,"1.185,53",,H,"156.289,65",,H
8409,Erl.19% USt - Media Serv.-Cont.Marketing,,,,"3.000,00",,H,"4.155,00",,H,"6.106,70",,H,"2.355,00",,H,,,,"39.411,13",,H,"13.340,00",,H,"9.000,00",,H,"15.030,00",,H,,,,,,,"29.830,01",,H,"122.227,84",,H
8410,Erlöse Minijo19% USt,,,,,,,"3.475,00",,H,"8.110,00",,H,"1.000,00",,H,"1.622,00",,H,"2.961,00",,H,"1.350,00",,H,"500,00",,H,"724,00",,H,"1.292,50",,H,,,,,,,"21.034,50",,H
8611,Verrechn. sonstige Sachbezüge Kfz 19%,,,,"2.835,94",,H,"2.262,65",,H,"2.262,65",,H,"2.561,60",,H,"1.701,93",,H,"3.316,79",,H,"2.240,22",,H,"2.358,91",,H,"2.358,91",,H,"2.358,91",,H,"2.439,58",,H,"2.846,27",,H,"29.544,36",,H
8736,Gewährte Skonti 19% USt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,25",S,,,,,"37,82",S,,"38,07",S,
8820,"Erlöse Sachanlageverkäufe 19% USt, BG",,,,,,,"2.100,84",,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.100,84",,H
9000,Saldenvorträge Sachkonten,"56.704,24",S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"56.704,24",S,
9008,Saldenvorträge Debitoren,"270.461,93",,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"270.461,93",,H
9009,Saldenvorträge Kreditoren,"213.757,69",S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"213.757,69",S,
